id,ticker,name,market,asset_type,ipo_date,delisting_date,status,timestamp,sector,logo_url
10617,6090.SR,Jazan Energy and Development Company,4,1,,,Active,2024-06-21 22:46:02.690906,Consumer Defensive,https://financialmodelingprep.com/image-stock/6090.SR.png
10616,1180.SR,The Saudi National Bank,4,1,,,Active,2024-06-21 22:46:02.199149,Financial Services,https://financialmodelingprep.com/image-stock/1180.SR.png
10615,9535.SR,Ladun Investment Company,4,1,,,Active,2024-06-21 22:46:01.728683,Real Estate,https://financialmodelingprep.com/image-stock/9535.SR.png
10614,2001.SR,Methanol Chemicals Company,4,1,,,Active,2024-06-21 22:46:01.259950,Basic Materials,https://financialmodelingprep.com/image-stock/2001.SR.png
10613,4260.SR,United International Transportation Company,4,1,,,Active,2024-06-21 22:46:00.728323,Industrials,https://financialmodelingprep.com/image-stock/4260.SR.png
10612,4180.SR,Fitaihi Holding Group,4,1,,,Active,2024-06-21 22:46:00.238886,Consumer Cyclical,https://financialmodelingprep.com/image-stock/4180.SR.png
10611,6013.SR,Development Works Food Co. Ltd,4,1,,,Active,2024-06-21 22:45:59.735768,Consumer Cyclical,https://financialmodelingprep.com/image-stock/6013.SR.png
10610,8030.SR,The Mediterranean and Gulf Cooperative Insurance and Reinsurance Company,4,1,,,Active,2024-06-21 22:45:59.254195,Financial Services,https://financialmodelingprep.com/image-stock/8030.SR.png
10609,2020.SR,SABIC Agri-Nutrients Company,4,1,,,Active,2024-06-21 22:45:58.782611,Basic Materials,https://financialmodelingprep.com/image-stock/2020.SR.png
10608,2250.SR,Saudi Industrial Investment Group,4,1,,,Active,2024-06-21 22:45:58.311245,Basic Materials,https://financialmodelingprep.com/image-stock/2250.SR.png
10607,5110.SR,Saudi Electricity Company,4,1,,,Active,2024-06-21 22:45:57.838760,Utilities,https://financialmodelingprep.com/image-stock/5110.SR.png
10606,4345.SR,Swicorp Wabel Reit Fund,4,1,,,Active,2024-06-21 22:45:57.349918,Real Estate,https://financialmodelingprep.com/image-stock/4345.SR.png
10605,4009.SR,Middle East Healthcare Company,4,1,,,Active,2024-06-21 22:45:56.865660,Healthcare,https://financialmodelingprep.com/image-stock/4009.SR.png
10604,1111.SR,Saudi Tadawul Group Holding Company,4,1,,,Active,2024-06-21 22:45:56.392497,Financial Services,https://financialmodelingprep.com/image-stock/1111.SR.png
10603,9513.SR,Watani Iron Steel Co.,4,1,,,Active,2024-06-21 22:45:55.806656,Basic Materials,https://financialmodelingprep.com/image-stock/9513.SR.png
10602,4006.SR,Saudi Marketing Company,4,1,,,Active,2024-06-21 22:45:55.297581,Consumer Cyclical,https://financialmodelingprep.com/image-stock/4006.SR.png
10601,1302.SR,Bawan Company,4,1,,,Active,2024-06-21 22:45:54.813074,Industrials,https://financialmodelingprep.com/image-stock/1302.SR.png
10600,8012.SR,Aljazira Takaful Taawuni Company,4,1,,,Active,2024-06-21 22:45:54.317542,Financial Services,https://financialmodelingprep.com/image-stock/8012.SR.png
10599,8160.SR,Arabia Insurance Cooperative Company,4,1,,,Active,2024-06-21 22:45:53.847388,Financial Services,https://financialmodelingprep.com/image-stock/8160.SR.png
10598,2282.SR,Naqi Water Company,4,1,,,Active,2024-06-21 22:45:53.366587,Consumer Defensive,https://financialmodelingprep.com/image-stock/2282.SR.png
10597,3008.SR,Al Kathiri Holding Company,4,1,,,Active,2024-06-21 22:45:52.878538,Basic Materials,https://financialmodelingprep.com/image-stock/3008.SR.png
10596,3091.SR,Al Jouf Cement Company,4,1,,,Active,2024-06-21 22:45:52.393187,Basic Materials,https://financialmodelingprep.com/image-stock/3091.SR.png
10595,8230.SR,Al Rajhi Company for Cooperative Insurance,4,1,,,Active,2024-06-21 22:45:51.920459,Financial Services,https://financialmodelingprep.com/image-stock/8230.SR.png
10594,2281.SR,Tanmiah Food Company,4,1,,,Active,2024-06-21 22:45:51.446263,Consumer Defensive,https://financialmodelingprep.com/image-stock/2281.SR.png
10593,4190.SR,Jarir Marketing Company,4,1,,,Active,2024-06-21 22:45:50.971042,Consumer Cyclical,https://financialmodelingprep.com/image-stock/4190.SR.png
10592,1210.SR,Basic Chemical Industries Company,4,1,,,Active,2024-06-21 22:45:50.435339,Basic Materials,https://financialmodelingprep.com/image-stock/1210.SR.png
